,user,text,classe
0,iG,"Governo do Amazonas afirma que mais de 300 mil testes foram realizados e que 125,6 amazonenses tiveram diagnóstico positivo para a doença.

Entenda:

#iG
https://t.co/ZcYsGCu7iV",Negativo
1,RdLitoral,"A Jovem Pan News – Litoral conversou, na manhã desta sexta-feira (11), com o responsável pela Vigilância em Saúde de Tramandaí, Victor Ilha, setor ligado a Secretária de Saúde Municipal. 
https://t.co/YppgMUhmRl",Neutro
2,klebertorres,Qual a relação da covid-19 com a economia e internet das coisas https://t.co/pR6Kepmjan,Neutro
3,Unicap,Alunos de Jornalismo e Psicologia desenvolvem aplicativo sobre a Covid-19 https://t.co/nBkOKKGEyF,Neutro
4,CBNCuritiba,Pessoas que se recuperaram da Covid-19 podem doar plasma no Hemepar. https://t.co/5kVrfpz5Q6,Positivo
5,studio877,#bentogonçalves #coronavírus | Bento Gonçalves confirma novo óbito relacionado a Covid-19 | Saiba mais em  https://t.co/ts3ik0mYqD https://t.co/AUxvBq6zrA,Negativo
6,itsmarinareis,Eu não sei se eu to com sono/cansada ou com Covid-19,Negativo
7,CoiabAmazonia,"""Intercâmbio de Experiências para a Proteção de Defensores Indígenas contra a COVID-19""

🗓 16 e 17/09 2020
⏰10h Lima, Quito, Bogotá / 11h La Paz e Georgetown / 12h Brasília

✍️ Registro https://t.co/qVIsHmH0y0

✅ Transmissão via Zoom e Facebook 👇
https://t.co/OyzOaLfrFD https://t.co/Pw8jiQgPU9",Neutro
8,ClicRDC,Santa Maria é o bairro de Chapecó com mais casos ativos da Covid-19 https://t.co/hcPC7oC59S,Negativo
9,MarcosSantosAM,MPAM quer segurança sanitária contra Covid-19 nas convenções partidárias - https://t.co/jfhYb5u5qm https://t.co/Cf0gj1XH3i,Neutro
10,Lusa_noticias,Covid-19: Primeiros 100 mil computadores distribuídos no 1º período escolar - Ministério - https://t.co/FcrYDDqCBW https://t.co/Ur82elr8jJ,Neutro
11,vborges91,"@flavioamendola Único q pode estragar esse clima é esse maldito Covid-19.
Espero q ninguém esteja contaminado, pois o Fluminense foi irresponsável.",Negativo
12,ominhopt,Jogo da II Liga cancelado com os jogadores já em campo https://t.co/CrX4MeGyju #Covid-19 #DGS #Futebol,Neutro
13,JdLuxemburgo,Covid-19: Gil Vicente tem um jogador e três elementos da equipa técnica infetados https://t.co/2xW6CxXPMF,Negativo
14,Jadhiel_aires,"@LuizCamargoVlog O jornalista da UOL é tão desinformado que acha que zinco e vitamina D fazem a multiplicação de anticorpos contra Covid 19, quando na verdade eles mantém o bom funcionamento celular para produção dessas proteínas, logo, a produção de anticorpos será mais rápida.",Positivo
15,patosnoticiasmg,"Covid-19: porque idosos devem tomar mais cuidado para evitar contágio

Leia Mais: https://t.co/ozfFnv4TsY

#noticias #jornalismo #news",Neutro
16,Juristas,"O evento acontece na próxima segunda-feira (14), e vai discutir os impactos econômicos da pandemia de Covid-19.

https://t.co/Y77jUliuPX

#stj #recuperaçaojudicial #covid19 https://t.co/5mM7JfC5S8",Neutro
17,biamora,Levar outra facada? Ter Covid-19 outra vez? Operar de pedra na bexiga? https://t.co/Od9PvNEV7p,Negativo
18,affonsoritter,"Seis meses depois, pandemia poupa apenas 10 países e, para muitos, Covid-19 não existe https://t.co/6YkHGun7k5 via @RFI_Br",Negativo
19,_amotta,"Quase 130 mil mortos, 4,23 milhões de infectados, queda de 9,7% no PIB do 2º tri, quase 13 milhões de desempregados e muitos outros na informalidade e Bolsonaro acha que o Brasil está “vencendo” a covid-19.

Imagina se estivesse sendo derrotado? https://t.co/AeVGbwCAxN",Negativo
20,despfctensonome,"Essa não foi a última vez que vencemos na Vila. Nesse ano, ainda pela fase de grupos do Paulistão, o São Paulo enfrentou o Guarani na Vila (Campinas estava na fase vermelha de casos de Covid-19). Com o time reserva, novamente o São Paulo fez 3×1. (Éverton, Helinho e Paulinho). https://t.co/7Svk74K6G4 https://t.co/QCC8An5WPE",Neutro
21,mercadizar,"Em estudo da Universidade Federal de Santa Maria, 65% dos entrevistados afirmaram que a sua saúde mental piorou durante a pandemia do novo coronavírus.
⠀
Leia a matéria completa e entenda quais os efeitos da pandemia na saúde mental dos brasileiros 👇🏽

https://t.co/EMU9cOHENL",Negativo
22,ItairRodrig,"Sobre sequelas da covid-19? Tenho algumas coisas a dizer depois de 3 meses de infectado:
1º Uma coisa que me perturba muito, é um tipo de calafrio, um arrepio que me dá ranço de estar com a roupa durante o dia. A melhor sensação é chegar em casa e tirar a roupa (pois é); + https://t.co/trVFU2H6Vr",Negativo
23,GlobalEtica,NÃO HAVERÁ RETROCESSO N A CURVA DO COVID-19 QUEM ESTA FALANDO  É O PROFETA  DA TRINDADE QUE ESTÁ A SETE DIAS APLICANDO A VACINA ESPIRITUAL DA FÉ NO SANGUE DE JESUS . NÃO HÁ VACINA CIENTÍFICA PRA ESSE VÍRUS ELE  É MATADOR DO DRAGÃO. HOJE EU PEDI A TRINDADE QUE VÁ A TODOS PAÍSES!!!,Negativo
24,AlmirQuites,"ESTADO DA EVOLUÇÃO DA CoViD-19 no Brasil, atualizado em 11/09/2020. Veja quando o contágio vai terminar.
 https://t.co/gzBfFCk8kT 
Veja os erros de interpretação que os repórteres das TV cometem ao interpretar a evolução da CoViD pelo gráfico da média móvel!",Negativo
25,EmidRR,"Alguém duvida??
Muito estranho exame de CoVid-19 na hora da prisão e fuga da Cristiane... https://t.co/TcWggBjAbz",Neutro
26,Roberto_SSANTOS,Pernambuco completa seis meses de enfrentamento à Covid-19 e números continuam em queda https://t.co/0wM739nztv,Positivo
27,Roberto_SSANTOS,SADGP promove cronograma de reuniões com Secretarias e órgãos da PCR para tratar de protocolo para covid-19 https://t.co/VVVg87GFT7,Neutro
28,DCDaniiell,"Se a vacina contra a Covid-19 estivesse disponível hoje, você tomaria?:",Positivo
29,joseorllando,Olha aê https://t.co/KTTBfNHXLd,Neutro
30,UFVJM,"#FammucUFVJM Vem aí o 1º Seminário Fammuc On-line! O evento, que será realizado entre os dias 15 e 17 de setembro, tem como tema central a “Covid-19 e suas múltiplas dimensões”. As inscrições vão até 13 de setembro. Faça sua inscrição pelo Portal/UFVJM:
https://t.co/PWRfUiUAGi https://t.co/HzWiWpMfCq",Neutro
31,DeLazarilho,"DGS: “- Pode ser feita uma festa com muitos milhares de pessoas.”
Povo: “- Se os comunas podem juntar 15 mil pessoas numa festa, nós também podemos jantar juntos aos magotes.”
COVID-19: “- Porreiro, pá!”",Neutro
32,SarabiaFi,"@seumizuka Bando de imprestáveis, por mim fechava tudo a começar pelo STF.
O COVID 19 é um fichinha perto dessa corja.",Negativo
33,o_documento,"Covid-19: comer fora pode ser mais arriscado que andar de ônibus
https://t.co/kxez50LuBx",Negativo
34,JornalClarim,Vice-prefeito de Uberaba morre vítima da Covid-19 :: https://t.co/XgQmHMeDkl https://t.co/Dt3V6h7iUM,Negativo
35,SICNoticias,Surto de covid-19 em Portalegre conta com 22 casos de infeção https://t.co/S4E5IIjNcw,Negativo
36,vicky_salles,"""Famílias com renda mensal, por pessoa, de até R$ 89 vão receber, durante três meses, auxílio de R$ 39 para minimizar o impacto econômico causado pela pandemia de Covid-19"". 

Os números nessa frase são simplesmente inacreditáveis!
https://t.co/Ejjo5HfEJy",Negativo
37,TSFRadio,Feirense-Chaves cancelado devido a quatro casos da Covid-19 https://t.co/dsgSiJNeGI Em https://t.co/MDmhqgKZgZ https://t.co/Z7oUKQ4yu8,Negativo
38,npodemosrevelar,estou vivendo em função de ver o prejuízo desse feriado em termos de covid 19,Negativo
39,tvi24ultimas,Covid-19: novo surto detetado faz disparar alarmes no distrito de Santarém https://t.co/QlWjBA9DGe,Negativo
40,tvi24pt,Covid-19: novo surto detetado faz disparar alarmes no distrito de Santarém https://t.co/4e6mlHmi8o,Negativo
41,Renascenca,Eurogrupo discute novos impostos que financiem recuperação pós-Covid-19 https://t.co/FhB0IV4p1D,Neutro
42,isagotti,"Acabo de descobrir que perdi um grande mestre para a covid-19. Exemplo de ser humano, íntegro e profissional. Só tenho a agradecer por todos os ensinamentos nos anos de estágio. Triste dia.",Negativo
43,cmjornal,Sociedade - Utentes e funcionários de lar ilegal em Évora testados após caso positivo de Covid-19 https://t.co/tXFtQbrFsG,Neutro
44,BandNewsFMCtba,Aproximadamente 70% dos paranaenses infectados pela covid-19 já estão recuperados no Estado https://t.co/PjtOfnTzhd,Positivo
45,tejoao,@cavalinhogalo teve uma chance enorme de fazer na final do Mineiro. com Titulo e tdo mais. Mas essa COVID-19 não ajudou,Negativo
46,gazetasp_,"De acordo com o governo paulista, as taxas de ocupação dos leitos de UTI são de 52,2% na Grande São Paulo e 52,5% no Estado.

Leia a matéria completa ⬇
https://t.co/g12srd6DMB",Neutro
47,bocaonews,"Atacante brasileiro testou positivo para o novo coronavírus junto com Di María e Paredes, e o trio não participou da estreia do time no Campeonato Francês https://t.co/PvBc0bR56o",Negativo
48,JornalExtra2,"Segundo o defensor público Rafael Barbosa, momento é inadequado para a reintegração, em função da pandemia de Covid-19. A Defensoria Pública do Estado do Amazonas (DPE-AM) ingressou com recurso, nesta quinta-feira (10/09), contra decisão que ordenou  #ADef https://t.co/Owr6k12Qm7 https://t.co/fXD2kF3d5g",Neutro
49,ubirataonline,Mais 7 casos confirmados de COVID-19 nesta sexta-feira 11 em Ubiratã - https://t.co/VRMzpqmI5I https://t.co/6YbWC7Vw07,Negativo
50,BlogdoLago,"Boletim do Covid-19 de hoje, 11 de setembro, de São Miguel do Iguaçu https://t.co/9gKm6iqURy",Neutro
51,Lusa_noticias,Covid-19: Utentes e funcionários de lar ilegal em Évora testados após caso positivo - https://t.co/FhS91SD21F https://t.co/HFNzXIXACg,Neutro
52,AGazetaWeb,"Para combater a Covid-19, Hemepar lança campanha de doação de plasma https://t.co/E0wSzVv8xD",Positivo
53,IIntimo,COVID-19: leitos de UTI e de enfermaria serão desmobilizados em Belo Horizonte https://t.co/UlTdxLB1L1,Positivo
54,100e7fm,"Já o registro de novos casos caiu 4,7% nos últimos sete dias em relação à semana anterior

https://t.co/niY4ZAcisv",Positivo
55,86Rui,@tapairportugal O meu voo OEQ6RH  foi cancelado em junho por razoes do covid-19. Ate agora ainda nao fui reembolsado! A agencia por quem comprei os bilhetes disse que nao pode fazer nada a nao ser aguardar!!! Podem-me ajudar? Obrigado,Negativo
56,Oefranciny,"Pelo menos o covid 19 trouxe algo de bom ""uso de máscara no transporte público"" sinto cheiro de nada hahahaha",Positivo
57,euronewspt,Mundo aperta o cerco à Covid-19 https://t.co/cCI8gAe887,Neutro
58,rbgoiania,"Goiás ultrapassa os 160 mil casos de Covid-19 e já soma 3.717 óbitos pela doença

#radiobandeirantesgoiania
#coronavírus #CoronavírusemGoiás #Covid19 #Covid19emGoiás #GovernodeGoiás

https://t.co/wWi6n4zqn5",Negativo
59,agoralitoral_,Mais 106 casos de Covid-19 são confirmados no Litoral - https://t.co/vSqe1FRqCT https://t.co/ne1aUVJfda,Negativo
60,MacMagazine,COVID-19: Inglaterra e Escócia lançam seus apps de alerta de exposição » https://t.co/DHXu4lZSjh (por @benedi_to),Neutro
61,Max_Laguna,"Quer ir ao bar, ao restaurante? 

Por favor, evite https://t.co/9C7sDM9IZx",Neutro
62,24sapo,"27 minutos depois da hora prevista para o início do encontro, o árbitro apitou para que os jogadores recolhessem ao balneário.
https://t.co/kE0rKrti2P",Neutro
63,LGorgueira,"...impressionante ou não...li hoje que a China, registou o 26°dia, consecutivo, sem infecções covid-19... fiquei com a boca aberta, e os olhos em bico...",Positivo
64,militaroperaci3,@g1 Tinha que ganhar o prêmio de melhor torcida do covid-19 do Mundo isso sim.,Positivo
65,Nallsinho,"@Miltonneves Quero vê mesmo é o q vcs vão falar do ""etico"" presidente do @FluminenseFC q tanto vcs defenderam, e detonaram o Flamengo.  Mandar um jogador que já tinha em casa uma pessoa com covid-19 é normal né.  Se fosse o Flamengo,  vcs tariam parado tdas as programações pra dar a notícias",Neutro
66,tchallaz,"Absolutamente ridículo aquilo que se passou na Segunda Liga. 4 casos de covid-19 na equipa do Chaves, anunciados logo pela manhã. Fizeram as equipas subir ao relvado, esperar 26 minutos, para depois adiarem o jogo. Isto começa bem. Bela imagem que passam do futebol português",Negativo
67,carlosbuenoDG,"Em Goiânia, Secretaria de Saúde vai emprestar oxímetros a pacientes com Covid-19 https://t.co/x35vsPVBNc",Neutro
